,node,y,x,osmid,highway,ref
40774,292345086,51.0876705,-0.7095982,292345086,,
40775,292345089,51.0875923,-0.709314,292345089,,
40776,292967752,51.1071868,-0.2045879,292967752,,
40777,293238689,51.0836211,-0.7414335,293238689,,
40778,293238690,51.0835319,-0.7416707,293238690,,
40779,293238693,51.0835634,-0.7417583,293238693,,
40780,293238695,51.0837306,-0.7417888,293238695,,
40781,293238697,51.0837759,-0.7416951,293238697,,
40782,293238699,51.083737,-0.7414723,293238699,,
40783,293238700,51.0841371,-0.7414398,293238700,,
40784,293238702,51.0836413,-0.742401,293238702,,
40785,293794592,51.4199212,-0.0781645,293794592,,
40786,293922612,51.3071774,-0.1199157,293922612,,
40787,295175176,51.425669,-0.0750159,295175176,,
40788,297529997,51.0638234,-0.3331778,297529997,,
